"id","name","year"
"tt0111161","The Shawshank Redemption","1994"
"tt0068646","The Godfather","1972"
"tt0071562","The Godfather: Part II","1974"
"tt0468569","The Dark Knight","2008"
"tt0060196","The Good, the Bad and the Ugly","1966"
"tt0110912","Pulp Fiction","1994"
"tt0167260","The Lord of the Rings: The Return of the King","2003"
"tt0050083","12 Angry Men","1957"
"tt0108052","Schindler's List","1993"
"tt0137523","Fight Club","1999"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring","2001"
"tt1375666","Inception","2010"
"tt0080684","Star Wars: Episode V - The Empire Strikes Back","1980"
"tt0109830","Forrest Gump","1994"
"tt0073486","One Flew Over the Cuckoo's Nest","1975"
"tt0167261","The Lord of the Rings: The Two Towers","2002"
"tt0047478","Seven Samurai","1954"
"tt0099685","Goodfellas","1990"
"tt0076759","Star Wars","1977"
"tt0133093","The Matrix","1999"
"tt0317248","City of God","2002"
"tt0064116","Once Upon a Time in the West","1968"
"tt0114814","The Usual Suspects","1995"
"tt0038650","It's a Wonderful Life","1946"
"tt0114369","Se7en","1995"
"tt0021749","City Lights","1931"
"tt0110413","Léon: The Professional","1994"
"tt0102926","The Silence of the Lambs","1991"
"tt0118799","Life Is Beautiful","1997"
"tt0034583","Casablanca","1942"
"tt1675434","The Intouchables","2011"
"tt0082971","Raiders of the Lost Ark","1981"
"tt0047396","Rear Window","1954"
"tt0120586","American History X","1998"
"tt1345836","The Dark Knight Rises","2012"
"tt0027977","Modern Times","1936"
"tt0054215","Psycho","1960"
"tt0120815","Saving Private Ryan","1998"
"tt0043014","Sunset Blvd.","1950"
"tt0405508","Rang De Basanti","2006"
"tt0057012","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964"
"tt0209144","Memento","2000"
"tt0103064","Terminator 2: Judgment Day","1991"
"tt0253474","The Pianist","2002"
"tt0095765","Cinema Paradiso","1988"
"tt0078788","Apocalypse Now","1979"
"tt0120689","The Green Mile","1999"
"tt0172495","Gladiator","2000"
"tt0407887","The Departed","2006"
"tt1853728","Django Unchained","2012"
"tt0032553","The Great Dictator","1940"
"tt0405094","The Lives of Others","2006"
"tt0050825","Paths of Glory","1957"
"tt0088763","Back to the Future","1985"
"tt0482571","The Prestige","2006"
"tt0078748","Alien","1979"
"tt0211915","Amélie","2001"
"tt1187043","3 Idiots","2009"
"tt1832382","Jodaeiye Nader az Simin","2011"
"tt0022100","M","1931"
"tt0053125","North by Northwest","1959"
"tt0081505","The Shining","1980"
"tt0169547","American Beauty","1999"
"tt0367110","Swades","2004"
"tt0082096","Das Boot","1981"
"tt0033467","Citizen Kane","1941"
"tt0036775","Double Indemnity","1944"
"tt0051201","Witness for the Prosecution","1957"
"tt0052357","Vertigo","1958"
"tt0090605","Aliens","1986"
"tt0056592","To Kill a Mockingbird","1962"
"tt0087843","Once Upon a Time in America","1984"
"tt0993846","The Wolf of Wall Street","2013"
"tt0364569","Oldeuboi","2003"
"tt0066921","A Clockwork Orange","1971"
"tt0056172","Lawrence of Arabia","1962"
"tt0040522","Bicycle Thieves","1948"
"tt0180093","Requiem for a Dream","2000"
"tt0042192","All About Eve","1950"
"tt0112573","Braveheart","1995"
"tt0075314","Taxi Driver","1976"
"tt0338013","Eternal Sunshine of the Spotless Mind","2004"
"tt0012349","The Kid","1921"
"tt0045152","Singin' in the Rain","1952"
"tt0086190","Star Wars: Episode VI - Return of the Jedi","1983"
"tt0105236","Reservoir Dogs","1992"
"tt0040897","The Treasure of the Sierra Madre","1948"
"tt0055630","Yojimbo","1961"
"tt0042876","Rashomon","1950"
"tt0070735","The Sting","1973"
"tt0044741","Ikiru","1952"
"tt0041959","The Third Man","1949"
"tt0053604","The Apartment","1960"
"tt0071853","Monty Python and the Holy Grail","1975"
"tt0086879","Amadeus","1984"
"tt0093058","Full Metal Jacket","1987"
"tt0053291","Some Like It Hot","1959"
"tt0017136","Metropolis","1927"
"tt0059578","For a Few Dollars More","1965"
"tt0208092","Snatch.","2000"
"tt0031679","Mr. Smith Goes to Washington","1939"
"tt0169102","Lagaan: Once Upon a Time in India","2001"
"tt0119488","L.A. Confidential","1997"
"tt0372784","Batman Begins","2005"
"tt2082197","Barfi!","2012"
"tt0062622","2001: A Space Odyssey","1968"
"tt0017925","The General","1926"
"tt0050986","Wild Strawberries","1957"
"tt0361748","Inglourious Basterds","2009"
"tt0081398","Raging Bull","1980"
"tt1490017","The Lego Movie","2014"
"tt0047296","On the Waterfront","1954"
"tt0097576","Indiana Jones and the Last Crusade","1989"
"tt0105695","Unforgiven","1992"
"tt0071315","Chinatown","1974"
"tt0057115","The Great Escape","1963"
"tt2106476","Jagten","2012"
"tt0086250","Scarface","1983"
"tt0363163","Downfall","2004"
"tt0089881","Ran","1985"
"tt0015864","The Gold Rush","1925"
"tt0050976","The Seventh Seal","1957"
"tt0050212","The Bridge on the River Kwai","1957"
"tt0457430","El laberinto del fauno","2006"
"tt0025316","It Happened One Night","1934"
"tt0055031","Judgment at Nuremberg","1961"
"tt0095016","Die Hard","1988"
"tt2024544","12 Years a Slave","2013"
"tt1979320","Rush","2013"
"tt0113277","Heat","1995"
"tt0032976","Rebecca","1940"
"tt1305806","The Secret in Their Eyes","2009"
"tt1798709","Her","2013"
"tt1291584","Warrior","2011"
"tt0080678","The Elephant Man","1980"
"tt0046911","Diabolique","1955"
"tt0036868","The Best Years of Our Lives","1946"
"tt0083658","Blade Runner","1982"
"tt0120735","Lock, Stock and Two Smoking Barrels","1998"
"tt0061512","Cool Hand Luke","1967"
"tt0118715","The Big Lebowski","1998"
"tt0434409","V for Vendetta","2005"
"tt1028532","Hachi: A Dog's Tale","2009"
"tt0119217","Good Will Hunting","1997"
"tt0033870","The Maltese Falcon","1941"
"tt0114787","Underground","1995"
"tt0031381","Gone with the Wind","1939"
"tt1255953","Incendies","2010"
"tt0848228","The Avengers","2012"
"tt1205489","Gran Torino","2008"
"tt0293715","My Sassy Girl","2001"
"tt0758758","Into the Wild","2007"
"tt0112641","Casino","1995"
"tt0077416","The Deer Hunter","1978"
"tt0083922","Fanny and Alexander","1982"
"tt0978762","Mary and Max","2009"
"tt0052311","Touch of Evil","1958"
"tt0058946","The Battle of Algiers","1966"
"tt0117951","Trainspotting","1996"
"tt0395169","Hotel Rwanda","2004"
"tt0116282","Fargo","1996"
"tt0046912","Dial M for Murder","1954"
"tt0032551","The Grapes of Wrath","1940"
"tt0064115","Butch Cassidy and the Sundance Kid","1969"
"tt0093779","The Princess Bride","1987"
"tt0060827","Persona","1966"
"tt0053198","The 400 Blows","1959"
"tt0074958","Network","1976"
"tt0075686","Annie Hall","1977"
"tt0056801","8½","1963"
"tt0386064","Tae Guk Gi: The Brotherhood of War","2004"
"tt0079944","Stalker","1979"
"tt0084787","The Thing","1982"
"tt0047528","La Strada","1954"
"tt0268978","A Beautiful Mind","2001"
"tt0401792","Sin City","2005"
"tt0167404","The Sixth Sense","1999"
"tt0079470","Life of Brian","1979"
"tt0091763","Platoon","1986"
"tt0245712","Amores Perros","2000"
"tt0266697","Kill Bill: Vol. 1","2003"
